,,,,,,OPEN,,,,,CLOSED,,,,,,
S,St,M,genSpec,Sp,Fc,Oblooms,OseedsGood,OseedsBad,OseedsTotal,Omass,Cblooms,CseedsGood,CseedsBad,CseedsTotal,Cmass,notes,notesClosed
WW,604,0,ss,CLAPUR,1,7,,,360,,3,,,119,,,
WW,604,0,ss,CLAPUR,2,9,,,428,,7,,,375,,,
WW,604,0,ss,CLAPUR,3,8,,,405,,6,,,327,,,
WW,604,0,ss,CLAPUR,4,9,,,511,,18,,,848,,,
WW,604,0,ss,CLAPUR,5,,,,,,3,,,126,,,
WW,604,0,ss,CLAPUR,6,3,,,89,,1,,,62,,,
WW,604,0,ss,CLAPUR,7,1,,,44,,1,,,69,,,
WW,604,0,ss,CLAPUR,8,2,,,55,,7,,,421,,,
WW,604,1,genOnly,CLAPUR,1,12,182,55,237,,12,,,732,,,
WW,604,1,genOnly,CLAPUR,2,1,,,53,,1,,,37,,,
WW,604,1,genOnly,CLAPUR,4,1,,,32,,2,,,31,,,
WW,604,1,genOnly,CLAPUR,5,1,,,58,,1,,,45,,,
WW,604,1,genOnly,CLAPUR,6,1,,,48,,1,,,7,,,
WW,604,1,genOnly,CLAPUR,7,2,,,90,,1,,,53,,"check sample, field data says eaten and no collection date",
WW,604,1,genOnly,CLAPUR,8,1,,,42,,1,,,35,,,
WW,604,1,genOnly,CLAPUR,9,1,,,31,,2,,,51,,,
WW,604,1,genOnly,CLAPUR,11,2,,,62,,1,,,47,,,
WW,604,1,genOnly,CLAPUR,12,1,,,24,,1,,,8,,,
WW,604,1,genOnly,CLAPUR,13,1,,,37,,1,,,59,,,
WW,604,1,genOnly,CLAPUR,14,4,,,201,,3,,,126,,,
WW,604,4,genSpec2,CLAPUR,2,1,,,52,,1,,,52,,,
WW,604,4,genSpec2,CLAPUR,3,1,,,77,,,,,,,,no closed
WW,604,4,genSpec2,CLAPUR,4,,,,,,1,,,37,,no open,
WW,604,4,genSpec2,CLAPUR,5,1,,,44,,,,,,,,
WW,604,4,genSpec2,CLAPUR,6,,,,,,2,,,80,,no open,
WW,604,4,genSpec2,CLAPUR,8,1,,,72,,1,,,60,,,
WW,604,4,genSpec2,CLAPUR,9,2,,,51,,,,,,,,no closed
WW,604,4,genSpec2,CLAPUR,11,1,,,55,,1,,,54,,,
WW,604,5,genSpec3,CLAPUR,1,1,,,64,,1,,,75,,,
WW,604,5,genSpec3,CLAPUR,2,3,,,184,,9,,,606,,,
WW,604,5,genSpec3,CLAPUR,3,,,,,,,,,,,,
WW,604,5,genSpec3,CLAPUR,4,4,,,126,,7,,,235,,,
WW,604,5,genSpec3,CLAPUR,5,3,,,175,,3,,,157,,,
WW,604,5,genSpec3,CLAPUR,6,1,,,13,,1,,,36,,,
WW,604,5,genSpec3,CLAPUR,7,4,,,229,,8,,,265,,,
WW,604,5,genSpec3,CLAPUR,8,1,,,57,,1,,,48,,,
WW,604,5,genSpec3,CLAPUR,9,1,,,37,,1,,,38,,,
WW,604,5,genSpec3,CLAPUR,10,1,,,64,,2,,,111,,,
WW,604,5,genSpec3,CLAPUR,11,1,,,42,,1,,,47,,,
WW,604,5,genSpec3,CLAPUR,12,1,,,54,,2,,,66,,,
WW,605,1,genOnly,CLAPUR,1,1,,,53,,5,,,275,,open is ambient,
WW,605,4,genSpec2,CLAPUR,1,1,,,70,,1,,,42,,,
WW,605,5,genSpec3,CLAPUR,1,1,,,68,,1,,,68,,,
WW,605,5,genSpec3,CLAPUR,2,1,,,36,,1,,,30,,,
WW,605,5,genSpec3,CLAPUR,3,1,,,70,,1,,,69,,,
WW,605,5,genSpec3,CLAPUR,4,4,,,185,,3,,,144,,,
WW,607,0,ss,CLAPUR,1,2,,,198,,2,,,141,,,
WW,607,0,ss,CLAPUR,2,1,,,39,,9,,,391,,,
WW,607,0,ss,CLAPUR,3,4,,,268,,1,,,77,,,
WW,607,0,ss,CLAPUR,4,1,,,74,,4,,,218,,,
WW,607,0,ss,CLAPUR,5,1,,,53,,8,,,343,,,
WW,607,0,ss,CLAPUR,6,,,,,,6,,,301,,,
WW,607,0,ss,CLAPUR,7,1,,,70,,3,,,139,,,
WW,607,0,ss,CLAPUR,8,1,,,83,,,,,,,,
WW,607,1,genOnly,CLAPUR,1,1,,,46.5,,1,,,42,,"above=40, below=53",
WW,607,1,genOnly,CLAPUR,2,,,,,,4,,,114,,fib no open,
WW,607,1,genOnly,CLAPUR,3,1,,,60,,1,,,70,,,
WW,607,1,genOnly,CLAPUR,4,1,,,38,,1,,,52,,,
WW,607,1,genOnly,CLAPUR,5,,,,,,4,,,126,,fib no open,
WW,607,1,genOnly,CLAPUR,6,1,,,42,,,,,,,,
WW,607,1,genOnly,CLAPUR,7,3,,,141,,6,,,289,,amb; may be open ,
WW,607,1,genOnly,CLAPUR,8,1,,,66,,1,,,61,,,
WW,607,1,genOnly,CLAPUR,9,,,,82,,1,,,,,,
WW,607,1,genOnly,CLAPUR,10,,,,,,,,,,,,
WW,607,1,genOnly,CLAPUR,11,,,,,,3,,,122,,,
WW,607,1,genOnly,CLAPUR,12,1,,,64,,1,,,69,,,
WW,607,4,genSpec2,CLAPUR,2,2,,,104,,1,,,43,,"above=52, below=52",
WW,607,4,genSpec2,CLAPUR,3,2,,,113,,,,,,,"above=50, below=63",
WW,607,4,genSpec2,CLAPUR,4,,,,,,1,,,39,,,
WW,607,4,genSpec2,CLAPUR,5,11,,,566,,4,,,164,,,
WW,607,4,genSpec2,CLAPUR,6,4,,,114,,5,,,230,,,
WW,607,4,genSpec2,CLAPUR,7,1,23,24,47,,2,59,45,104,,,
WW,607,4,genSpec2,CLAPUR,8,2,,,84,,2,,,66,,,
WW,607,4,genSpec2,CLAPUR,9,1,,,39,,2,,,2,,,
WW,607,5,genSpec3,CLAPUR,1,1,,,69,,4,,,187,,,
WW,607,5,genSpec3,CLAPUR,2,2,,,104,,10,,,573,,,
WW,607,5,genSpec3,CLAPUR,3,1,,,42,,1,,,31,,,
WW,607,5,genSpec3,CLAPUR,4,4,,,173,,4,,,182,,,
WW,607,5,genSpec3,CLAPUR,5,,,,,,1,,,49,,,
WW,607,5,genSpec3,CLAPUR,6,,,,,,3,,,152,,,
WW,611,0,ss,CLAPUR,1,1,,,51,,,,,,,,
WW,611,0,ss,CLAPUR,2,1,,,72,,1,,,54,,,
WW,611,0,ss,CLAPUR,3,1,,,55,,1,,,54,,,
WW,611,0,ss,CLAPUR,4,,,,,,1,,,47,,,
WW,611,0,ss,CLAPUR,5,1,,,40,,1,,,34,,,
WW,611,0,ss,CLAPUR,6,,,,,,1,,,13,,,
WW,611,0,ss,CLAPUR,7,1,,,25,,2,,,29,,,
WW,611,1,genOnly,CLAPUR,1,1,,,49,,1,,,40,,,
WW,611,1,genOnly,CLAPUR,2,1,,,8,,1,,,28,,open?,
WW,611,1,genOnly,CLAPUR,3,1,,,21,,1,,,40,,,
WW,611,1,genOnly,CLAPUR,4,1,,,9,,1,,,24,,,
WW,611,1,genOnly,CLAPUR,5,2,,,22,,1,,,18,,,
WW,611,1,genOnly,CLAPUR,6,1,,,54,,1,,,24,,,
WW,611,1,genOnly,CLAPUR,7,,,,,,1,,,37,,,
WW,611,1,genOnly,CLAPUR,8,1,,,7,,1,,,27,,,
WW,611,1,genOnly,CLAPUR,9,1,,,33,,2,,,100,,,
WW,611,4,genSpec2,CLAPUR,1,1,,,70,,5,,,266,,,
WW,611,4,genSpec2,CLAPUR,2,1,,,67,,1,,,70,,,
WW,611,4,genSpec2,CLAPUR,3,1,,,70,,1,,,67,,,
WW,611,4,genSpec2,CLAPUR,4,1,,,45,,1,,,67,,,
WW,611,4,genSpec2,CLAPUR,5,2,,,36,,2,,,71,,,
WW,611,4,genSpec2,CLAPUR,6,,,,,,8,,,495,,,
WW,611,4,genSpec2,CLAPUR,7,,,,,,6,,,450,,,
WW,611,5,genSpec3,CLAPUR,1,1,,,48,,1,,,45,,,
WW,611,5,genSpec3,CLAPUR,2,,,,,,3,,,65,,,
WW,611,5,genSpec3,CLAPUR,3,1,,,59,,1,,,57,,,