"","Date","Obs","Stand","Site","Transect","Subplot","SubplotComments","PlantGenusSpecies","NumFlowers","NumPlant","Comments","DateRecorded"
"24749","6/11/24","RM","611:Holiday",6,"Mix6",0,"","Leucanthemum vulgare",5,1,"","6/11/24"
"24750","6/11/24","RM","611:Holiday",6,"Mix6",0,"","Collomia heterophylla",6,2,"","6/11/24"
"24751","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Collomia heterophylla",3,2,"","6/11/24"
"24752","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Leucanthemum vulgare",4,1,"","6/11/24"
"24753","6/11/24","RM","611:Holiday",6,"Mix6",4,"","Senecio vulgaris",620,2,"","6/11/24"
"24754","6/11/24","RM","611:Holiday",6,"Mix6",8,"","Collomia heterophylla",1,1,"","6/11/24"
"24755","6/11/24","RM","611:Holiday",6,"Mix6",8,"","Collinsia grandiflora",0.5,8,"","6/11/24"
"24756","6/11/24","RM","611:Holiday",6,"Mix6",12,"","Gilia capitata",1,1,"","6/11/24"
"24757","6/11/24","RM","611:Holiday",6,"Mix6",12,"","Phlox gracilis",0.2,10,"","6/11/24"
"24758","6/11/24","RM","611:Holiday",6,"Mix5",0,"","Collomia heterophylla",2,1,"","6/11/24"
"24759","6/11/24","RM","611:Holiday",6,"Mix5",0,"","Collinsia grandiflora",10,3,"","6/11/24"
"24760","6/11/24","RM","611:Holiday",6,"Mix5",4,"","Collomia grandiflora",2,1,"","6/11/24"
"24761","6/11/24","RM","611:Holiday",6,"Mix5",8,"","Collinsia grandiflora",13,6,"","6/11/24"
"24762","6/11/24","RM","611:Holiday",6,"Mix5",12,"","Collinsia grandiflora",7,3,"","6/11/24"
"24763","6/11/24","RM","611:Holiday",6,"Mix5",12,"","Collomia heterophylla",7,2,"","6/11/24"
"24764","6/11/24","RM","611:Holiday",6,"Mix4",0,"","Phlox gracilis",5,4,"","6/11/24"
"24765","6/11/24","RM","611:Holiday",6,"Mix4",0,"","Clarkia purpurea",1,3,"","6/11/24"
"24766","6/11/24","RM","611:Holiday",6,"Mix4",8,"","Clarkia purpurea",3,1,"","6/11/24"
"24767","6/11/24","RM","611:Holiday",6,"Mix4",8,"","Collomia heterophylla",7,5,"","6/11/24"
"24768","6/11/24","RM","611:Holiday",6,"Mix1",4,"","Collomia heterophylla",10,6,"","6/11/24"
"24769","6/11/24","RM","611:Holiday",6,"Mix1",0,"","Collomia heterophylla",8,1,"","6/11/24"
"24770","6/11/24","RM","611:Holiday",6,"Mix1",8,"","Collomia heterophylla",4,8,"","6/11/24"
"24904","6/12/24","RM","704:Holiday",6,"Mix4",0,"","Phlox gracilis",2,11,"704","6/12/24"
"24905","6/12/24","RM","704:Holiday",6,"Mix4",4,"","Phlox gracilis",0.5,4,"704","6/12/24"
"24906","6/12/24","RM","704:Holiday",6,"Mix4",8,"","Phlox gracilis",2,7,"704","6/12/24"
"24907","6/12/24","RM","704:Holiday",6,"Mix4",12,"","Phlox gracilis",0.4,10,"704","6/12/24"
"24908","6/12/24","RM","704:Holiday",6,"Mix6",0,"","Phlox gracilis",1,3,"704","6/12/24"
"24909","6/12/24","RM","704:Holiday",6,"Mix6",0,"","Collinsia grandiflora",10,1,"704","6/12/24"
"24910","6/12/24","RM","704:Holiday",6,"Mix6",4,"","Phlox gracilis",2,6,"704","6/12/24"
"24911","6/12/24","RM","704:Holiday",6,"Mix6",8,"","Collinsia grandiflora",2,5,"704","6/12/24"
"24912","6/12/24","RM","704:Holiday",6,"Mix6",12,"","Phlox gracilis",0.5,6,"704","6/12/24"
"24913","6/12/24","RM","704:Holiday",6,"Mix5",0,"","Collinsia grandiflora",8,11,"704","6/12/24"
"24914","6/12/24","RM","704:Holiday",6,"Mix5",4,"","Collinsia grandiflora",9,10,"704","6/12/24"
"24915","6/12/24","RM","704:Holiday",6,"Mix5",8,"","Collinsia grandiflora",20,3,"704","6/12/24"
"24916","6/12/24","RM","704:Holiday",6,"Mix5",12,"","Collinsia grandiflora",7,8,"704","6/12/24"
"24918","6/12/24","RM","704:Holiday",6,"Mix3",0,"","Collinsia grandiflora",10,9,"704","6/12/24"
"24920","6/12/24","RM","704:Holiday",6,"Mix3",4,"","Collinsia grandiflora",9,4,"704","6/12/24"
"24921","6/12/24","RM","704:Holiday",6,"Mix3",8,"","Collinsia grandiflora",6,10,"704","6/12/24"
"24922","6/12/24","RM","704:Holiday",6,"Mix3",12,"","Collinsia grandiflora",12,3,"704","6/12/24"
"24924","6/12/24","RM","704:Holiday",6,"Mix2",0,"","Collinsia grandiflora",6,8,"704","6/12/24"
"24925","6/12/24","RM","704:Holiday",6,"Mix2",0,"","Phlox gracilis",1,3,"704","6/12/24"
"24927","6/12/24","RM","704:Holiday",6,"Mix2",0,"","Madia gracilis",0.2,10,"704","6/12/24"
"24928","6/12/24","RM","704:Holiday",6,"Mix2",4,"","Collinsia grandiflora",12,9,"704","6/12/24"
"24929","6/12/24","RM","704:Holiday",6,"Mix2",4,"","Madia gracilis",0.25,12,"704","6/12/24"
"24930","6/12/24","RM","704:Holiday",6,"Mix2",4,"","Phlox gracilis",2,1,"704","6/12/24"
"24931","6/12/24","RM","704:Holiday",6,"Mix2",8,"","Collinsia grandiflora",14,7,"704","6/12/24"
"24933","6/12/24","RM","704:Holiday",6,"Mix2",8,"","Phlox gracilis",1,1,"704","6/12/24"
"24934","6/12/24","RM","704:Holiday",6,"Mix2",12,"","Collinsia grandiflora",12,6,"704","6/12/24"
"24935","6/12/24","RM","704:Holiday",6,"Mix2",12,"","Phlox gracilis",1,3,"704","6/12/24"
"24938","6/12/24","RM","704:Holiday",6,"Mix6",12,"","Madia gracilis",0.2,10,"704","6/12/24"
"25471","6/20/24","RM","604:Holiday",6,"Mix1",0,"","Gilia capitata",1.5,18,"","6/20/24"
"25473","6/20/24","RM","604:Holiday",6,"Mix1",0,"","Senecio sylvaticus",13,1,"","6/20/24"
"25474","6/20/24","RM","604:Holiday",6,"Mix1",0,"","Crepis setosa",13,1,"setosa","6/20/24"
"25475","6/20/24","RM","604:Holiday",6,"Mix1",8,"","Senecio sylvaticus",7,12,"setosa","6/20/24"
"25477","6/20/24","RM","604:Holiday",6,"Mix1",8,"","Clarkia purpurea",2,5,"setosa","6/20/24"
"25478","6/20/24","RM","604:Holiday",6,"Mix1",8,"","Gilia capitata",2,7,"setosa","6/20/24"
"25482","6/20/24","RM","604:Holiday",6,"Mix1",4,"","Gilia capitata",1.5,14,"","6/20/24"
"25485","6/20/24","RM","604:Holiday",6,"Mix1",4,"","Clarkia purpurea",0.5,12,"","6/20/24"
"25489","6/20/24","RM","604:Holiday",6,"Mix1",0,"","Clarkia purpurea",1,9,"","6/20/24"
"25490","6/20/24","RM","604:Holiday",6,"Mix1",0,"","Clarkia amoena",0.25,4,"","6/20/24"
"25491","6/20/24","RM","604:Holiday",6,"Mix1",4,"","Clarkia purpurea",1.5,12,"","6/20/24"
"25492","6/20/24","RM","604:Holiday",6,"Mix1",12,"","Clarkia purpurea",2,2,"","6/20/24"
"25493","6/20/24","RM","604:Holiday",6,"Mix1",12,"","Gilia capitata",3,3,"","6/20/24"
"25495","6/20/24","RM","604:Holiday",6,"Mix1",12,"","Senecio sylvaticus",6,4,"","6/20/24"
"25497","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Collomia grandiflora",0.3,9,"","6/20/24"
"25499","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Madia gracilis",1.5,10,"","6/20/24"
"25501","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Collinsia grandiflora",2,5,"","6/20/24"
"25502","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Senecio sylvaticus",16,5,"","6/20/24"
"25505","6/20/24","RM","604:Holiday",6,"Mix2",4,"","Collomia grandiflora",2,4,"","6/20/24"
"25506","6/20/24","RM","604:Holiday",6,"Mix2",4,"","Gilia capitata",1,1,"","6/20/24"
"25507","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Madia gracilis",0.25,8,"","6/20/24"
"25509","6/20/24","RM","604:Holiday",6,"Mix2",4,"","Collinsia grandiflora",1,5,"","6/20/24"
"25511","6/20/24","RM","604:Holiday",6,"Mix2",8,"","Madia gracilis",0.25,20,"","6/20/24"
"25514","6/20/24","RM","604:Holiday",6,"Mix2",0,"","Collomia grandiflora",0.25,16,"","6/20/24"
"25516","6/20/24","RM","604:Holiday",6,"Mix2",8,"","Collinsia grandiflora",4,8,"","6/20/24"
"25517","6/20/24","RM","604:Holiday",6,"Mix2",8,"","Senecio sylvaticus",13,3,"","6/20/24"
"25518","6/20/24","RM","604:Holiday",6,"Mix2",12,"","Collomia grandiflora",7,1,"","6/20/24"
"25520","6/20/24","RM","604:Holiday",6,"Mix2",12,"","Madia gracilis",0.5,2,"","6/20/24"
"25522","6/20/24","RM","604:Holiday",6,"Mix2",12,"","Senecio sylvaticus",12,2,"","6/20/24"
"25524","6/20/24","RM","604:Holiday",6,"Mix2",12,"","Hypochaeris radicata",1,2,"","6/20/24"
"25529","6/20/24","RM","604:Holiday",6,"Mix3",0,"","Collomia grandiflora",1,18,"","6/20/24"
"25531","6/20/24","RM","604:Holiday",6,"Mix3",0,"11","holcus lanatus",120,11,"hocus lanatus","6/20/24"
"25532","6/20/24","RM","604:Holiday",6,"Mix3",0,"","holcus lanatus",3,3,"setosa","6/20/24"
"25534","6/20/24","RM","604:Holiday",6,"Mix3",0,"","holcus lanatus",4,5,"setosa","6/20/24"
"25535","6/20/24","RM","604:Holiday",6,"Mix3",0,"","holcus lanatus",2,9,"setosa","6/20/24"
"25538","6/20/24","RM","604:Holiday",6,"Mix3",4,"","holcus lanatus",3,12,"setosa","6/20/24"
"25540","6/20/24","RM","604:Holiday",6,"Mix3",4,"","Collomia grandiflora",5,12,"setosa","6/20/24"
"25542","6/20/24","RM","604:Holiday",6,"Mix3",4,"","Hypochaeris radicata",4,2,"setosa","6/20/24"
"25543","6/20/24","RM","604:Holiday",6,"Mix3",8,"","Gilia capitata",1,10,"","6/20/24"
"25544","6/20/24","RM","604:Holiday",6,"Mix3",4,"","Collomia grandiflora",3,17,"","6/20/24"
"25547","6/20/24","RM","604:Holiday",6,"Mix3",8,"","Collinsia grandiflora",3,3,"","6/20/24"
"25548","6/20/24","RM","604:Holiday",6,"Mix3",8,"","Hypochaeris radicata",3,2,"","6/20/24"
"25549","6/20/24","RM","604:Holiday",6,"Mix3",8,"","Senecio sylvaticus",35,1,"","6/20/24"
"25551","6/20/24","RM","604:Holiday",6,"Mix3",8,"5","holcus lanatus",350,5,"hocus lanatus","6/20/24"
"25553","6/20/24","RM","604:Holiday",6,"Mix3",12,"","Crepis setosa",2,1,"setosa","6/20/24"
"25554","6/20/24","RM","604:Holiday",6,"Mix3",12,"","Senecio sylvaticus",23,4,"","6/20/24"
"25556","6/20/24","RM","604:Holiday",6,"Mix3",12,"","Collomia grandiflora",1,9,"","6/20/24"
"25557","6/20/24","RM","604:Holiday",6,"Mix3",12,"","Gilia capitata",2,5,"","6/20/24"
"25562","6/20/24","RM","604:Holiday",6,"Mix4",0,"","Crepis setosa",39,1,"setosa","6/20/24"
"25574","6/20/24","RM","604:Holiday",6,"Mix4",0,"","Madia gracilis",0.25,4,"","6/20/24"
"25576","6/20/24","RM","604:Holiday",6,"Mix4",0,"","Clarkia amoena",0.15,6,"","6/20/24"
"25580","6/20/24","RM","604:Holiday",6,"Mix4",4,"","Madia gracilis",1.5,12,"","6/20/24"
"25582","6/20/24","RM","604:Holiday",6,"Mix4",4,"","Phacelia heterophylla",9,1,"","6/20/24"
"25583","6/20/24","RM","604:Holiday",6,"Mix4",4,"","Hypochaeris radicata",4,3,"","6/20/24"
"25584","6/20/24","RM","604:Holiday",6,"Mix4",4,"","Clarkia purpurea",1,7,"","6/20/24"
"25587","6/20/24","RM","604:Holiday",6,"Mix4",4,"","Senecio sylvaticus",4,4,"","6/20/24"
"25593","6/20/24","RM","604:Holiday",6,"Mix4",8,"","Clarkia amoena",0.5,6,"","6/20/24"
"25595","6/20/24","RM","604:Holiday",6,"Mix4",8,"","Madia gracilis",1.5,8,"","6/20/24"
"25597","6/20/24","RM","604:Holiday",6,"Mix4",8,"","Hypochaeris radicata",5,3,"","6/20/24"
"25599","6/20/24","RM","604:Holiday",6,"Mix4",8,"","Senecio sylvaticus",11,5,"","6/20/24"
"25600","6/20/24","RM","604:Holiday",6,"Mix4",8,"","Clarkia amoena",0.5,4,"","6/20/24"
"25602","6/20/24","RM","604:Holiday",6,"Mix4",12,"","Madia gracilis",1.5,12,"","6/20/24"
"25603","6/20/24","RM","604:Holiday",6,"Mix4",12,"","Clarkia purpurea",0.3,9,"","6/20/24"
"25609","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Collomia grandiflora",10,8,"","6/20/24"
"25610","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Hypochaeris radicata",9,2,"","6/20/24"
"25613","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Crepis setosa",3,1,"setosa","6/20/24"
"25614","6/20/24","RM","604:Holiday",6,"Mix5",0,"8","holcus lanatus",90,8,"holcus lanatus","6/20/24"
"25618","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Clarkia purpurea",2,10,"","6/20/24"
"25619","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Phacelia heterophylla",4,2,"","6/20/24"
"25620","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Senecio sylvaticus",5,3,"","6/20/24"
"25621","6/20/24","RM","604:Holiday",6,"Mix5",0,"","Collinsia grandiflora",4,3,"","6/20/24"
"25622","6/20/24","RM","604:Holiday",6,"Mix5",4,"7","holcus lanatus",200,7,"holcus lanatus","6/20/24"
"25624","6/20/24","RM","604:Holiday",6,"Mix5",4,"","Senecio sylvaticus",21,1,"","6/20/24"
"25625","6/20/24","RM","604:Holiday",6,"Mix5",4,"","Collomia grandiflora",12,6,"","6/20/24"
"25626","6/20/24","RM","604:Holiday",6,"Mix5",4,"","Collinsia grandiflora",5,3,"","6/20/24"
"25632","6/20/24","RM","604:Holiday",6,"Mix5",4,"","Clarkia purpurea",5,8,"","6/20/24"
"25637","6/20/24","RM","604:Holiday",6,"Mix5",8,"11","holcus lanatus",130,11,"holcus lanatus","6/20/24"
"25638","6/20/24","RM","604:Holiday",6,"Mix5",8,"","Collinsia grandiflora",4,3,"","6/20/24"
"25639","6/20/24","RM","604:Holiday",6,"Mix5",8,"","Clarkia purpurea",2,11,"","6/20/24"
"25640","6/20/24","RM","604:Holiday",6,"Mix5",8,"","Collomia grandiflora",11,1,"","6/20/24"
"25653","6/20/24","RM","604:Holiday",6,"Mix5",12,"","Crepis setosa",15,1,"setosa","6/20/24"
"25655","6/20/24","RM","604:Holiday",6,"Mix5",12,"","Clarkia purpurea",2,12,"","6/20/24"
"25656","6/20/24","RM","604:Holiday",6,"Mix5",12,"5","holcus lanatus",160,5,"holcus lanatus","6/20/24"
"25661","6/20/24","RM","604:Holiday",6,"Mix6",0,"","Gilia capitata",2,6,"","6/20/24"
"25663","6/20/24","RM","604:Holiday",6,"Mix6",0,"","Madia gracilis",0.3,9,"","6/20/24"
"25666","6/20/24","RM","604:Holiday",6,"Mix6",0,"","Senecio sylvaticus",33,1,"","6/20/24"
"25669","6/20/24","RM","604:Holiday",6,"Mix6",4,"","Gilia capitata",2,11,"","6/20/24"
"25670","6/20/24","RM","604:Holiday",6,"Mix6",4,"","Madia gracilis",0.5,14,"","6/20/24"
"25671","6/20/24","RM","604:Holiday",6,"Mix6",4,"2","holcus lanatus",140,2,"holcus lanatus","6/20/24"
"25673","6/20/24","RM","604:Holiday",6,"Mix6",8,"","Gilia capitata",4,6,"","6/20/24"
"25675","6/20/24","RM","604:Holiday",6,"Mix6",8,"","Senecio sylvaticus",34,1,"","6/20/24"
"25677","6/20/24","RM","604:Holiday",6,"Mix6",8,"9","holcus lanatus",150,9,"holcus lanatus","6/20/24"
"25678","6/20/24","RM","604:Holiday",6,"Mix6",12,"","Collomia grandiflora",29,1,"","6/20/24"
"25680","6/20/24","RM","604:Holiday",6,"Mix6",12,"","Gilia capitata",4,8,"","6/20/24"
"25681","6/20/24","RM","604:Holiday",6,"Mix6",12,"","Senecio sylvaticus",31,1,"","6/20/24"
"26062","6/21/24","RM","705:Holiday",6,"Mix1",4,"","Gilia capitata",0.5,6,"705","6/21/24"
"26063","6/21/24","RM","705:Holiday",6,"Mix1",8,"","Gilia capitata",0.5,8,"705","6/21/24"
"26064","6/21/24","RM","705:Holiday",6,"Mix1",8,"","Senecio sylvaticus",4,5,"705","6/21/24"
"26065","6/21/24","RM","705:Holiday",6,"Mix1",12,"","Gilia capitata",0.25,8,"705","6/21/24"
"26066","6/21/24","RM","705:Holiday",6,"Mix2",0,"","Collinsia grandiflora",6,6,"705","6/21/24"
"26067","6/21/24","RM","705:Holiday",6,"Mix2",0,"","Collomia grandiflora",5,5,"705","6/21/24"
"26068","6/21/24","RM","705:Holiday",6,"Mix2",4,"","Senecio sylvaticus",4,4,"705","6/21/24"
"26069","6/21/24","RM","705:Holiday",6,"Mix2",8,"","Collinsia grandiflora",4,4,"705","6/21/24"
"26070","6/21/24","RM","705:Holiday",6,"Mix2",8,"","Senecio sylvaticus",6,4,"705","6/21/24"
"26071","6/21/24","RM","705:Holiday",6,"Mix2",12,"","Senecio sylvaticus",5,4,"705","6/21/24"
"26072","6/21/24","RM","705:Holiday",6,"Mix3",0,"","Collomia grandiflora",0.1,10,"705","6/21/24"
"26073","6/21/24","RM","705:Holiday",6,"Mix3",0,"","Collinsia grandiflora",9,5,"705","6/21/24"
"26074","6/21/24","RM","705:Holiday",6,"Mix3",0,"","Gilia capitata",1,3,"705","6/21/24"
"26075","6/21/24","RM","705:Holiday",6,"Mix3",4,"","Gilia capitata",0.75,16,"705","6/21/24"
"26076","6/21/24","RM","705:Holiday",6,"Mix3",4,"","Collinsia grandiflora",4,7,"705","6/21/24"
"26077","6/21/24","RM","705:Holiday",6,"Mix3",12,"","Gilia capitata",0.5,8,"705","6/21/24"
"26078","6/21/24","RM","705:Holiday",6,"Mix3",12,"","Collomia grandiflora",1,10,"705","6/21/24"
"26079","6/21/24","RM","705:Holiday",6,"Mix3",12,"","Collinsia grandiflora",4,6,"705","6/21/24"
"26080","6/21/24","RM","705:Holiday",6,"Mix4",0,"","Clarkia purpurea",1,2,"705","6/21/24"
"26081","6/21/24","RM","705:Holiday",6,"Mix5",0,"","Collomia grandiflora",1.5,8,"705","6/21/24"
"26082","6/21/24","RM","705:Holiday",6,"Mix5",0,"","Collinsia grandiflora",2,7,"705","6/21/24"
"26083","6/21/24","RM","705:Holiday",6,"Mix5",4,"","Collinsia grandiflora",1,4,"705","6/21/24"
"26084","6/21/24","RM","705:Holiday",6,"Mix5",4,"","Collinsia grandiflora",1,4,"705","6/21/24"
"26085","6/21/24","RM","705:Holiday",6,"Mix5",4,"","Senecio sylvaticus",30,1,"705","6/21/24"
"26086","6/21/24","RM","705:Holiday",6,"Mix5",8,"","Collinsia grandiflora",1,24,"705","6/21/24"
"26087","6/21/24","RM","705:Holiday",6,"Mix5",8,"","Clarkia purpurea",1,3,"705","6/21/24"
"26088","6/21/24","RM","705:Holiday",6,"Mix5",8,"","Collinsia grandiflora",2,3,"705","6/21/24"
"26089","6/21/24","RM","705:Holiday",6,"Mix5",12,"","Collinsia grandiflora",3,2,"705","6/21/24"
"26090","6/21/24","RM","705:Holiday",6,"Mix5",12,"","Collomia grandiflora",1.5,14,"705","6/21/24"
"26091","6/21/24","RM","705:Holiday",6,"Mix5",12,"","Clarkia purpurea",0.5,8,"705","6/21/24"
"26092","6/21/24","RM","705:Holiday",6,"Mix6",0,"","Senecio sylvaticus",2,3,"705","6/21/24"
"26093","6/21/24","RM","705:Holiday",6,"Mix6",4,"","Senecio sylvaticus",1,2,"705","6/21/24"
"26094","6/21/24","RM","705:Holiday",6,"Mix6",4,"","Gilia capitata",1,6,"705","6/21/24"
"26095","6/21/24","RM","705:Holiday",6,"Mix6",12,"","Gilia capitata",1,6,"705","6/21/24"
"26096","6/21/24","RM","705:Holiday",6,"Mix6",12,"","Senecio sylvaticus",3,2,"705","6/21/24"
"26101","6/24/24","RM","700:Holiday",6,"Mix1",0,"","Gilia capitata",1,18,"700","6/21/24"
"26103","6/24/24","RM","700:Holiday",6,"Mix1",0,"","Clarkia purpurea",1,8,"700","6/21/24"
"26104","6/24/24","RM","700:Holiday",6,"Mix1",4,"","Clarkia purpurea",0.75,12,"700","6/21/24"
"26107","6/24/24","RM","700:Holiday",6,"Mix1",4,"","Gilia capitata",1.5,16,"700","6/21/24"
"26109","6/24/24","RM","700:Holiday",6,"Mix1",4,"","Senecio sylvaticus",12,1,"700","6/21/24"
"26113","6/24/24","RM","700:Holiday",6,"Mix1",8,"","Gilia capitata",2,12,"700","6/21/24"
"26116","6/24/24","RM","700:Holiday",6,"Mix1",8,"","Clarkia purpurea",1,2,"700","6/21/24"
"26117","6/24/24","RM","700:Holiday",6,"Mix1",12,"","Clarkia purpurea",1,2,"700","6/21/24"
"26118","6/24/24","RM","700:Holiday",6,"Mix1",12,"","Gilia capitata",4,10,"700","6/21/24"
"26123","6/24/24","RM","700:Holiday",6,"Mix2",0,"","Collomia grandiflora",6,20,"700","6/21/24"
"26126","6/24/24","RM","700:Holiday",6,"Mix2",0,"","Collinsia grandiflora",4,12,"700","6/21/24"
"26128","6/24/24","RM","700:Holiday",6,"Mix2",0,"","Senecio sylvaticus",15,1,"700","6/21/24"
"26132","6/24/24","RM","700:Holiday",6,"Mix2",4,"","Collomia heterophylla",13,8,"700","6/21/24"
"26136","6/24/24","RM","700:Holiday",6,"Mix2",4,"","Collinsia grandiflora",11,8,"700","6/21/24"
"26139","6/24/24","RM","700:Holiday",6,"Mix2",8,"","Collomia grandiflora",17,6,"700","6/21/24"
"26140","6/24/24","RM","700:Holiday",6,"Mix2",8,"","Senecio sylvaticus",7,4,"700","6/21/24"
"26143","6/24/24","RM","700:Holiday",6,"Mix2",8,"","Collinsia grandiflora",5,4,"700","6/21/24"
"26144","6/24/24","RM","700:Holiday",6,"Mix2",8,"","Phlox gracilis",6,1,"700","6/21/24"
"26145","6/24/24","RM","700:Holiday",6,"Mix2",12,"","Collomia grandiflora",11,10,"700","6/21/24"
"26146","6/24/24","RM","700:Holiday",6,"Mix3",0,"","Collomia grandiflora",2,5,"700","6/21/24"
"26148","6/24/24","RM","700:Holiday",6,"Mix3",0,"","Gilia capitata",1,5,"700","6/21/24"
"26149","6/24/24","RM","700:Holiday",6,"Mix3",0,"","Collinsia grandiflora",3,5,"700","6/21/24"
"26150","6/24/24","RM","700:Holiday",6,"Mix3",4,"","Collinsia grandiflora",3,3,"700","6/21/24"
"26152","6/24/24","RM","700:Holiday",6,"Mix3",4,"","Collomia grandiflora",0.5,6,"700","6/21/24"
"26153","6/24/24","RM","700:Holiday",6,"Mix3",4,"","Gilia capitata",1.5,12,"700","6/21/24"
"26154","6/24/24","RM","700:Holiday",6,"Mix3",8,"","Collinsia grandiflora",5,4,"700","6/21/24"
"26156","6/24/24","RM","700:Holiday",6,"Mix3",8,"","Gilia capitata",5,7,"700","6/21/24"
"26157","6/24/24","RM","700:Holiday",6,"Mix3",8,"","Collinsia grandiflora",0.5,6,"700","6/21/24"
"26159","6/24/24","RM","700:Holiday",6,"Mix3",12,"","Collinsia grandiflora",7,4,"700","6/21/24"
"26160","6/24/24","RM","700:Holiday",6,"Mix3",12,"","Gilia capitata",2,11,"700","6/21/24"
"26166","6/24/24","RM","700:Holiday",6,"Mix4",4,"","Clarkia purpurea",1,4,"700","6/21/24"
"26170","6/24/24","RM","700:Holiday",6,"Mix4",8,"","Clarkia purpurea",1,6,"700","6/21/24"
"26174","6/24/24","RM","700:Holiday",6,"Mix4",12,"","Clarkia purpurea",0.5,16,"700","6/21/24"
"26179","6/24/24","RM","700:Holiday",6,"Mix5",0,"","Phacelia heterophylla",2,3,"700","6/21/24"
"26180","6/24/24","RM","700:Holiday",6,"Mix5",0,"","Clarkia purpurea",1,5,"700","6/21/24"
"26182","6/24/24","RM","700:Holiday",6,"Mix5",0,"","Collinsia grandiflora",9,5,"700","6/21/24"
"26186","6/24/24","RM","700:Holiday",6,"Mix5",4,"","Collinsia grandiflora",9,11,"700","6/21/24"
"26187","6/24/24","RM","700:Holiday",6,"Mix5",4,"","Phacelia heterophylla",10,2,"700","6/21/24"
"26190","6/24/24","RM","700:Holiday",6,"Mix5",4,"","Collomia grandiflora",10,3,"700","6/21/24"
"26192","6/24/24","RM","700:Holiday",6,"Mix5",4,"","Senecio sylvaticus",7,5,"700","6/21/24"
"26194","6/24/24","RM","700:Holiday",6,"Mix5",4,"","Clarkia purpurea",1,4,"700","6/21/24"
"26197","6/24/24","RM","700:Holiday",6,"Mix5",8,"","Collinsia grandiflora",13,6,"700","6/21/24"
"26201","6/24/24","RM","700:Holiday",6,"Mix5",8,"","Clarkia purpurea",1.5,14,"700","6/21/24"
"26203","6/24/24","RM","700:Holiday",6,"Mix5",8,"","Collomia grandiflora",1,4,"700","6/21/24"
"26204","6/24/24","RM","700:Holiday",6,"Mix5",8,"","Senecio sylvaticus",9,3,"700","6/21/24"
"26207","6/24/24","RM","700:Holiday",6,"Mix5",12,"","Collinsia grandiflora",20,6,"700","6/21/24"
